"Day","Biomass_Ideal","Biomass_Drought","Biomass_DroughtDisease"
1,1,1,1
2,1.0792,1.06732,1.0594
3,1.164604261888,1.13912312305197,1.122290602984
4,1.25668756036959,1.21570112640666,1.18887231744451
5,1.35595915429965,1.29736381112677,1.25935660605887
6,1.46296498646112,1.38444000633966,1.33396641498567
7,1.57828997213672,1.47727858836157,1.41293672004702
8,1.70256037051874,1.57624953299137,1.49651508914493
9,1.83644623070803,1.68174499867341,1.5849622600464
10,1.98066390135805,1.79418043753962,1.67855273242973
11,2.13597858987458,1.91399573055145,1.77757537281018
12,2.30320695343542,2.04165634206248,1.88233403065518
13,2.48321969989397,2.17765448810175,1.99314816365271
14,2.67694417182314,2.32251031152537,2.11035346971051
15,2.88536688148974,2.47677305588904,2.23430252283287
16,3.10953595837628,2.64102222844564,2.36536540954472
17,3.35056346394524,2.81586874106037,2.503930362005
18,3.60962752064012,3.00195601605099,2.65040438337064
19,3.88797419362112,3.19996104199529,2.80521386033564
20,4.18691905444659,3.41059536239518,2.96880515707445
21,4.50784834586753,3.63460597774438,3.14164518406251
22,4.85221965616946,3.87277613901384,3.32422193442874
23,5.22156200018964,4.1259260078512,3.51704497961286
24,5.61747519242736,4.39491315589795,3.72064591515646
25,6.04162838579152,4.68063287257844,3.93557874645027
26,6.49575763781324,4.98401824753403,4.16242020319557
27,6.98166235500693,5.30603999059996,4.40176997021853
28,7.50120045601602,5.6477059489011,4.65425082110921
29,8.05628208587224,6.0100602773364,4.92050863995228
30,8.6488617079043,6.39418221550997,5.20121231518391
31,9.28092839746268,6.80118442114515,5.49705348836637
32,9.95449416372463,7.23221080730233,5.80874613943598
33,10.6715801335781,7.68843382844923,6.13702598877469
34,11.4342004462264,8.17105115876435,6.48264969530903
35,12.244343730049,8.68128170517371,6.84639382878432
36,13.1039520657492,9.22036089773521,7.22905359343609
37,14.014897383216,9.78953520132375,7.6314412795282
38,14.9789552949436,10.3900557953824,8.05438441869816
39,15.9977764371568,11.0231713730552,8.49872361880155
40,17.0728554713827,11.6901200175815,8.96531005404037
41,18.205497993936,12.3921201226797,9.45500258666375
42,19.3967857076851,13.1303603350502,9.96866449751528
43,20.647540327668,13.9059885113144,10.5071598042478
44,21.9582868166153,14.7200996988795,11.0713491482115
45,23.3292166740079,15.5737231705048,11.6620852339272
46,24.7601521274303,16.4678085657929,12.2802078087608
47,26.2505121909259,17.4032112193743,12.9265381749906
48,27.7992816539712,18.3806767849843,13.6018732319764
